Name,Path,Lines,Size(KB),Classes,Interfaces,Methods,Exports,Imports,AnyTypes
"validationHandlers.ts","client/services/configGui/validationHandlers.ts",115,3.35,0,1,0,4,2,0
"wallManager.ts","shared/modules/renderers/unifiedDataRenderer/managers/wallManager.ts",113,3.34,0,0,0,1,5,0
"layoutManager.ts","client/services/configGui/components/axisMappingControls/utils/layoutManager.ts",103,3.28,0,0,0,6,1,0
"standardizedInterfaces.ts","shared/modules/barMaker/standardizedInterfaces.ts",135,3.22,0,2,0,3,1,1
"main.ts","client/services/configGui/components/axisMappingControls/main.ts",97,3.14,0,0,0,1,6,0
"barMaker.ts","shared/modules/barMaker/barMaker.ts",109,3.08,0,0,0,1,3,0
"propertyDiscovery.ts","shared/utils/propertyDiscovery.ts",107,3.07,0,0,0,3,1,0
"hexagonMaker.ts","shared/modules/hexagonMaker/hexagonMaker.ts",107,3.02,0,0,0,1,5,0
"yParallelShadowManager.ts","shared/modules/renderers/unifiedDataRenderer/managers/yParallelShadowManager.ts",83,3,0,0,0,1,5,0
"TextLabelMaker.ts","shared/modules/TextLabelMaker.ts",100,2.98,0,1,0,2,0,0
"TextBoxMaker.ts","shared/modules/TextBoxMaker.ts",101,2.89,0,1,0,2,0,0
"makeOriginBlock.ts","shared/modules/makeOriginBlock.ts",91,2.86,0,1,0,2,1,0
"IMaker.ts","shared/interfaces/IMaker.ts",128,2.79,0,7,0,7,0,0
"blockDimensionCalculator.ts","shared/modules/renderers/blocks/blockDimensionCalculator.ts",106,2.78,0,2,0,3,1,0
"radioButton.ts","client/services/configGui/components/axisMappingControls/components/radioButton.ts",83,2.72,0,0,0,2,2,0
"game.service.ts","server/services/main/game.service.ts",92,2.7,1,0,8,1,5,0
"labelBlockMaker.ts","shared/modules/labelBlockMaker/labelBlockMaker.ts",94,2.69,0,0,0,1,4,0
"arrayValidation.ts","shared/utils/validation/arrayValidation.ts",130,2.63,0,2,0,3,0,0
"guiLayout.ts","client/services/configGui/guiLayout.ts",90,2.58,1,0,4,2,1,0
"constants.ts","client/services/configGui/constants.ts",107,2.54,0,0,0,1,0,0
"nodePropertyHelpers.ts","shared/utils/nodePropertyHelpers.ts",89,2.54,0,0,0,6,3,0
"interfaces.ts","shared/modules/renderers/unifiedDataRenderer/core/dataGenerator/interfaces.ts",116,2.47,0,8,0,8,2,2
"enhancedGenerator.interface.ts","shared/interfaces/enhancedGenerator.interface.ts",74,2.46,0,9,0,8,0,0
"utilities.ts","shared/modules/ropeLabelMaker/utilities.ts",88,2.4,0,0,0,4,2,0
"blockConstants.ts","shared/modules/renderers/constants/blockConstants.ts",62,2.38,0,0,0,1,1,0
"utilities.ts","shared/modules/hexagonMaker/utilities.ts",74,2.38,0,0,0,4,2,0
"baseBlockCreator.ts","shared/modules/renderers/blocks/baseBlockCreator.ts",86,2.35,1,0,0,1,1,0
"constants.ts","shared/modules/renderers/unifiedDataRenderer/constants.ts",71,2.29,0,0,0,11,0,0
"simpleDataGenerator.interface.ts","shared/interfaces/simpleDataGenerator.interface.ts",72,2.25,0,5,0,5,0,0
"standardizedInterfaces.ts","shared/modules/hexagonMaker/standardizedInterfaces.ts",97,2.23,0,2,0,3,1,1
"platformShadowManager.ts","shared/modules/renderers/unifiedDataRenderer/managers/platformShadowManager.ts",69,2.15,0,0,0,1,5,0
"hexStackMaker.ts","shared/modules/hexStackMaker/hexStackMaker.ts",74,2.09,0,0,0,1,4,0
"main.client.ts","client/main.client.ts",53,2.04,0,0,0,0,6,0
"axisDefaults.ts","shared/constants/axisDefaults.ts",62,2.03,0,0,0,4,0,0
"constants.ts","shared/modules/renderers/dataGeneratorRobloxRendererUtils/constants.ts",79,2.02,0,0,0,1,0,0
"utilities.ts","shared/modules/labelBlockMaker/utilities.ts",59,1.92,0,0,0,1,2,0
"interfaces.ts","shared/modules/renderers/unifiedDataRenderer/interfaces.ts",75,1.8,0,7,0,7,2,0
"utilities.ts","shared/modules/barMaker/utilities.ts",49,1.78,0,0,0,4,2,0
"visualCustomizationSection.ts","client/services/configGui/components/axisMappingControls/components/visualCustomizationSection.ts",74,1.77,0,1,0,1,3,0
"standardizedInterfaces.ts","shared/modules/hexStackMaker/standardizedInterfaces.ts",73,1.66,0,2,0,3,1,0
"platformBlockCreator.ts","shared/modules/renderers/blocks/platformBlockCreator.ts",65,1.65,0,1,0,2,2,0
"frame.ts","client/services/configGui/components/frame.ts",49,1.51,0,1,0,2,2,0
"types.ts","client/services/configGui/components/axisMappingControls/types.ts",58,1.5,0,6,0,6,1,0
"globalSettings.ts","client/services/configGui/components/globalSettings.ts",48,1.47,0,1,0,1,3,0
"nodeTypes.ts","shared/interfaces/nodeTypes.ts",54,1.46,0,2,0,11,0,0
"status.ts","client/services/configGui/components/status.ts",40,1.44,0,1,0,2,1,0
"interfaces.ts","shared/modules/labelBlockMaker/interfaces.ts",52,1.29,0,4,0,5,1,1
"dev2features.ts","server/services/main/dev2features.ts",34,1.06,0,0,0,1,2,0
"labelConstants.ts","shared/modules/renderers/constants/labelConstants.ts",39,0.96,0,0,0,1,0,0
"ropeLabelMaker.ts","shared/modules/ropeLabelMaker/ropeLabelMaker.ts",40,0.95,0,0,0,1,3,0
